CUT,MSize,MLength,MMutaion,MCoverage,MTotal_time,MBranchCoverage,MBZUTIME
com.google.common.base.Utf8,19,73,0.358803987,0.936507937,605696,0.80952381,4
com.google.common.cache.CacheBuilderSpec,54,208,0.31713555,0.985815603,617676,0.95035461,7
com.google.common.math.BigIntegerMath,35,105,0.545146727,0.977443609,642966,0.932330827,162
com.google.common.util.concurrent.Monitor,13,40,0.010204082,0.701570681,604188,0.104712042,5
com.ib.client.ComboLeg,9,33,0.611111111,1,5761,1,2
com.ib.client.ExecutionFilter,9,35,0.434285714,1,7285,1,2
com.ib.client.OrderState,10,34,0.416666667,1,5592,1,2
gnu.trove.decorator.TDoubleShortMapDecorator,20,92,0.348623853,0.909090909,605401,0.727272727,9
gnu.trove.decorator.TShortByteMapDecorator,20,85,0.404958678,0.909090909,605981,0.727272727,9
gnu.trove.impl.hash.TCharHash,14,64,0.340021119,0.983333333,616300,0.95,8
gnu.trove.impl.hash.TFloatCharHash,16,81,0.267100977,0.888888889,618017,0.666666667,10
gnu.trove.impl.hash.TFloatDoubleHash,17,90,0.270511779,0.888888889,617390,0.666666667,9
JSci.maths.LinearMath,20,84,0.211111111,0.955470738,635883,0.866412214,42
JSci.maths.SpecialMath,30,108,0.278612303,0.954081633,615240,0.862244898,7
JSci.maths.symbolic.SimpleCharStream,34,88,0.108384458,0.992063492,611826,0.976190476,20
org.apache.commons.cli.HelpFormatter,35,119,0.188552189,0.976851852,694232,0.930555556,131
org.apache.commons.cli.Option,47,118,0.699604743,1,29898,1,4
org.apache.commons.collections4.list.TreeList,30,178,0.364888124,0.9847793,611689,0.949771689,19
org.apache.commons.collections4.sequence.SequencesComparator,5,54,0.306097561,0.988764045,612083,0.966292135,6
org.apache.commons.lang3.ArrayUtils,302,651,0.535887488,0.930065921,645228,0.7927773,21
org.apache.commons.lang3.BooleanUtils,115,197,0.684458399,0.969811321,613903,0.913207547,13
org.apache.commons.lang3.ClassUtils,79,151,0.574638844,0.936090226,613350,0.808270677,12
org.apache.commons.lang3.Conversion,225,422,0.214088398,0.930191972,636812,0.790575916,14
org.apache.commons.lang3.text.StrBuilder,237,679,0.361183638,0.990379174,668217,0.971137521,67
org.apache.commons.lang3.time.DateUtils,108,266,0.446311176,0.994407159,690759,0.983221477,21
org.apache.commons.math3.analysis.FunctionUtils,12,37,0.085185185,0.736730361,609745,0.210191083,22
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,21,103,0.131782946,0.945833333,615580,0.8375,23
org.apache.commons.math3.dfp.DfpDec,9,11,0,0.685990338,603263,0.057971014,4
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,12,45,0.288732394,0.833333333,608128,0.5,5
org.apache.commons.math3.linear.MatrixUtils,54,208,0.224662162,0.972746331,643034,0.918238994,169
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,5,26,0.628930818,1,7021,1,7
org.apache.commons.math3.linear.SchurTransformer,7,42,NA,0.971014493,614834,0.913043478,51
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,17,100,0.307692308,0.994350282,611026,0.983050847,25
org.apache.commons.math3.optim.univariate.BrentOptimizer,3,7,0,0.697777778,602862,0.093333333,5
org.jdom2.output.SAXOutputter,52,192,0.515463918,0.992592593,613472,0.977777778,12
org.jdom2.output.XMLOutputter,30,109,0.823529412,0.983870968,609889,0.951612903,12
org.jdom2.Verifier,78,148,0.460706561,0.949458484,617857,0.848375451,13
org.joda.time.base.BasePeriod,28,97,0.342105263,0.983122363,614946,0.949367089,13
org.joda.time.chrono.BasicMonthOfYearDateTimeField,24,91,0.710037175,0.989417989,614629,0.968253968,7
org.joda.time.chrono.LimitChronology,36,209,0.234527687,0.955357143,620209,0.857142857,25
org.joda.time.format.PeriodFormatterBuilder,107,639,0.398746082,0.960852044,656869,0.8791019,48
org.tartarus.snowball.ext.englishStemmer,42,100,0.140127389,0.937931034,609382,0.813793103,16
org.tartarus.snowball.ext.italianStemmer,27,65,0.202194357,0.887426901,608015,0.662280702,25
org.tartarus.snowball.ext.turkishStemmer,29,72,0.166768853,0.877431907,614351,0.63229572,72
org.znerd.xmlenc.XMLChecker,22,30,0.089552239,0.779334982,612984,0.338004946,6
org.znerd.xmlenc.XMLEncoder,47,147,0.576832151,0.978021978,607894,0.934065934,5
