CUT,MSize,MLength,MMutaion,MCoverage,MTotal_time,MBranchCoverage,MBZUTIME
com.google.common.base.Utf8,19,73,0.34551495,0.936507937,605473,0.80952381,4
com.google.common.cache.CacheBuilderSpec,55,216,0.342710997,0.990543735,616834,0.964539007,6
com.google.common.math.BigIntegerMath,36,106,0.55530474,0.979949875,622475,0.939849624,77
com.google.common.util.concurrent.Monitor,12,34,0.010204082,0.701570681,605094,0.104712042,4
com.ib.client.ComboLeg,9,31,0.585858586,1,5302,1,2
com.ib.client.ExecutionFilter,9,37,0.468571429,1,7604,1,2
com.ib.client.OrderState,10,35,0.422222222,1,5004,1,2
gnu.trove.decorator.TDoubleShortMapDecorator,21,92,0.394495413,0.909090909,605775,0.727272727,7
gnu.trove.decorator.TShortByteMapDecorator,21,83,0.396694215,0.909090909,605553,0.727272727,8
gnu.trove.impl.hash.TCharHash,13,66,0.327349525,0.983333333,615565,0.95,9
gnu.trove.impl.hash.TFloatCharHash,16,83,0.262214984,0.888888889,614237,0.666666667,8
gnu.trove.impl.hash.TFloatDoubleHash,16,86,0.278635256,0.888888889,616259,0.666666667,9
JSci.maths.LinearMath,20,91,NA,0.955470738,637923,0.866412214,71
JSci.maths.SpecialMath,31,111,0.273247496,0.955782313,614647,0.867346939,25
JSci.maths.symbolic.SimpleCharStream,36,95,0.119631902,0.996031746,607175,0.988095238,24
org.apache.commons.cli.HelpFormatter,36,121,0.189674523,0.974537037,692056,0.923611111,118
org.apache.commons.cli.Option,47,119,0.608695652,1,24587,1,4
org.apache.commons.collections4.list.TreeList,30,183,0.388984509,0.9847793,610962,0.9543379,20
org.apache.commons.collections4.sequence.SequencesComparator,5,54,0.292682927,0.988764045,612341,0.966292135,5
org.apache.commons.lang3.ArrayUtils,308,668,0.541707081,0.930925767,644535,0.795356836,14
org.apache.commons.lang3.BooleanUtils,116,198,0.681318681,0.969811321,613345,0.916981132,11
org.apache.commons.lang3.ClassUtils,79,162,0.577849117,0.937343358,613062,0.812030075,10
org.apache.commons.lang3.Conversion,237,438,0.225310773,0.935427574,633858,0.808900524,15
org.apache.commons.lang3.text.StrBuilder,240,691,0.354743255,0.992642898,666050,0.974533107,71
org.apache.commons.lang3.time.DateUtils,108,263,0.448502557,0.995525727,681166,0.986577181,19
org.apache.commons.math3.analysis.FunctionUtils,12,32,0.085185185,0.734607219,609399,0.203821656,13
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,21,104,0.139534884,0.95,614689,0.85,23
org.apache.commons.math3.dfp.DfpDec,8,11,0,0.685990338,603134,0.057971014,4
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,12,43,0.288732394,0.833333333,607874.5,0.5,5
org.apache.commons.math3.linear.MatrixUtils,55,203,0.240709459,0.972746331,635697,0.918238994,77
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,5,25,0.603773585,1,6246,1,7
org.apache.commons.math3.linear.SchurTransformer,7,38.5,0.155952381,0.971014493,622051.5,0.913043478,66.5
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,20,106,0.299145299,0.994350282,611918,0.983050847,24
org.apache.commons.math3.optim.univariate.BrentOptimizer,3,9,0,0.697777778,602869,0.093333333,4
org.jdom2.output.SAXOutputter,52,193,0.505154639,0.992592593,613102,0.977777778,10
org.jdom2.output.XMLOutputter,30,109,0.823529412,0.983870968,609685,0.951612903,8
org.jdom2.Verifier,75,135,0.468637347,0.949458484,616983,0.848375451,14
org.joda.time.base.BasePeriod,28,99,0.348684211,0.983122363,614660,0.949367089,10
org.joda.time.chrono.BasicMonthOfYearDateTimeField,24,90,0.711895911,0.989417989,614418,0.968253968,6
org.joda.time.chrono.LimitChronology,38,217,0.2247557,0.961309524,620328,0.875,27
org.joda.time.format.PeriodFormatterBuilder,113,672,0.409404389,0.967760507,657028,0.90328152,51
org.tartarus.snowball.ext.englishStemmer,42,103,0.143312102,0.93908046,609111,0.817241379,15
org.tartarus.snowball.ext.italianStemmer,27,68,0.202194357,0.887426901,607899,0.662280702,31
org.tartarus.snowball.ext.turkishStemmer,32,78,0.169221337,0.881322957,614678,0.643968872,72
org.znerd.xmlenc.XMLChecker,21,26,0.11055832,0.779884584,612576,0.339653751,7
org.znerd.xmlenc.XMLEncoder,47,150,0.576832151,0.978021978,607806,0.93956044,3
