CUT,MSize,MLength,MTotal_Goals,MCovered_Goals,MMutaion,MCoverage,MTotal_time,MBranchCoverage,MBZUTIME
com.google.common.base.Utf8,15,56,65,46,0.333887043,0.899470899,607451,0.698412698,3
com.google.common.cache.CacheBuilderSpec,22,69,143,77,0.171355499,0.843971631,616657,0.531914894,4
com.google.common.math.BigIntegerMath,34,99,135,123,0.525959368,0.969924812,640767,0.909774436,203
com.google.common.util.concurrent.Monitor,13,35,193,22,0.010204082,0.701570681,606612,0.104712042,4
com.ib.client.ComboLeg,9,34,23,23,0.636363636,1,39978,1,2
com.ib.client.ExecutionFilter,9,33,22,22,0.422857143,1,279767,1,1
com.ib.client.OrderState,10,35,24,24,0.411111111,1,61313,1,2
gnu.trove.decorator.TDoubleShortMapDecorator,20,88,79,58,0.412844037,0.909090909,607703,0.727272727,7
gnu.trove.decorator.TShortByteMapDecorator,21,88,79,58,0.41322314,0.909090909,608286,0.727272727,7
gnu.trove.impl.hash.TCharHash,11,50,62,54,0.297782471,0.955555556,609556,0.866666667,7
gnu.trove.impl.hash.TFloatCharHash,16,77,89,59,0.267915309,0.885057471,617398,0.655172414,10
gnu.trove.impl.hash.TFloatDoubleHash,14,69,89,58,0.246141348,0.881226054,613164,0.643678161,8
JSci.maths.LinearMath,16,64,264,203,0.160536398,0.922391858,619181,0.767175573,40
JSci.maths.SpecialMath,29,106,198,169,0.253576538,0.952380952,618161,0.852040816,5
JSci.maths.symbolic.SimpleCharStream,26,68,86,71,0.101226994,0.94047619,618422,0.821428571,20
org.apache.commons.cli.HelpFormatter,31,97,146,128,0.168911336,0.958333333,696386,0.875,106
org.apache.commons.cli.Option,46,115,100,98,0.628458498,0.993197279,610117,0.979591837,2
org.apache.commons.collections4.list.TreeList,26,136,221,190,0.299483649,0.95281583,614773,0.858447489,12
org.apache.commons.collections4.sequence.SequencesComparator,4,43,91,88,0.26097561,0.988764045,613028,0.966292135,7
org.apache.commons.lang3.ArrayUtils,107,250,1165,490,0.264306499,0.801948983,629590,0.419604471,8
org.apache.commons.lang3.BooleanUtils,69,129,267,176,0.434850863,0.881761006,611899,0.656603774,4
org.apache.commons.lang3.ClassUtils,46,96,268,162,0.414125201,0.86716792,613042,0.601503759,5
org.apache.commons.lang3.Conversion,76,152,766,388,0.094958564,0.827661431,616868,0.505235602,3
org.apache.commons.lang3.text.StrBuilder,114,320,591,361,0.201218451,0.865308432,649769,0.60950764,26
org.apache.commons.lang3.time.DateUtils,47,131,300,209,0.328707085,0.898210291,639689,0.694630872,9
org.apache.commons.math3.analysis.FunctionUtils,13,33,159,34,0.085185185,0.734607219,610587,0.203821656,17
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,13,51,82,31,0,0.7875,614047,0.3625,3
org.apache.commons.math3.dfp.DfpDec,8,11,140,10,0,0.685990338,605468,0.057971014,7
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,12,37,68,34,0.073943662,0.828282828,611418,0.484848485,4
org.apache.commons.math3.linear.MatrixUtils,24,89,161,99,0.168918919,0.870020964,631594,0.610062893,73
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,5,23,33,33,0.647798742,1,24084,1,10
org.apache.commons.math3.linear.SchurTransformer,7,40,94,84,0.172619048,0.963768116,616755,0.891304348,40
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,16,94,61,53,0.250712251,0.949152542,614199,0.86440678,22
org.apache.commons.math3.optim.univariate.BrentOptimizer,3,7,77,9,0,0.697777778,604297,0.093333333,3
org.jdom2.output.SAXOutputter,41,147,92,76,0.360824742,0.940740741,613935,0.822222222,7
org.jdom2.output.XMLOutputter,27,93,64,58,0.823529412,0.967741935,611849,0.903225806,9
org.jdom2.Verifier,55,98,279,182,0.349675559,0.883273165,615556,0.649819495,6
org.joda.time.base.BasePeriod,20,70,81,68,0.338815789,0.945147679,615839,0.835443038,9
org.joda.time.chrono.BasicMonthOfYearDateTimeField,21,82,65,59,0.682156134,0.968253968,616571,0.904761905,7
org.joda.time.chrono.LimitChronology,21,111,114,79,0.205211726,0.898809524,618327,0.6875,23
org.joda.time.format.PeriodFormatterBuilder,56,261,581,329,0.198119122,0.852619459,629295,0.564766839,12
org.tartarus.snowball.ext.englishStemmer,23,57,292,206,0.115711253,0.901149425,609745,0.703448276,8
org.tartarus.snowball.ext.italianStemmer,17,40,230,131,0.181818182,0.856725146,608551,0.565789474,17
org.tartarus.snowball.ext.turkishStemmer,16,40,516,259,0.128755365,0.833333333,613236,0.5,34
org.znerd.xmlenc.XMLChecker,16,20,1215,391,0.06909895,0.773564166,615735,0.320692498,5
org.znerd.xmlenc.XMLEncoder,27,74,184,129,0.360520095,0.899267399,609737,0.697802198,4
